,id,comment_text,toxic,words,filtered,hashedValues
0,0002bcb3da6cb337,cocksucker piss around,1,"['cocksucker', 'piss', 'around']","['cocksucker', 'piss', 'around']","(16,[9,13],[1.0,2.0])"
1,0005c987bdfc9d4b,gang up any one who asks them questions,1,"['gang', 'up', 'any', 'one', 'who', 'asks', 'them', 'questions']","['gang', 'one', 'asks', 'questions']","(16,[7,10,11,12],[1.0,1.0,1.0,1.0])"
2,0007e25b2121310b,dont look or come back tosser,1,"['dont', 'look', 'or', 'come', 'back', 'tosser']","['dont', 'look', 'come', 'back', 'tosser']","(16,[1,3,9,12,14],[1.0,1.0,1.0,1.0,1.0])"
3,001810bf8c45bf5f,you are gay or antisemmitian,1,"['you', 'are', 'gay', 'or', 'antisemmitian']","['gay', 'antisemmitian']","(16,[4,11],[1.0,1.0])"
4,00190820581d90ce,fuck your filthy mother in the ass dry,1,"['fuck', 'your', 'filthy', 'mother', 'in', 'the', 'ass', 'dry']","['fuck', 'filthy', 'mother', 'ass', 'dry']","(16,[0,2,7,9,10],[1.0,1.0,1.0,1.0,1.0])"
5,001956c382006abd,screwed around with someones talk page,1,"['screwed', 'around', 'with', 'someones', 'talk', 'page']","['screwed', 'around', 'someones', 'talk', 'page']","(16,[1,2,9,11,13],[1.0,1.0,1.0,1.0,1.0])"
6,001dc38a83d420cf,get fucked up fuck fucked up right now,1,"['get', 'fucked', 'up', 'fuck', 'fucked', 'up', 'right', 'now']","['get', 'fucked', 'fuck', 'fucked', 'right']","(16,[7,11,14],[2.0,2.0,1.0])"
7,0020e7119b96eeeb,stupid peace of shit stop deleting my stuff asshole go die and fall in a hole go to hell,1,"['stupid', 'peace', 'of', 'shit', 'stop', 'deleting', 'my', 'stuff', 'asshole', 'go', 'die', 'and', 'fall', 'in', 'a', 'hole', 'go', 'to', 'hell']","['stupid', 'peace', 'shit', 'stop', 'deleting', 'stuff', 'asshole', 'go', 'die', 'fall', 'hole', 'go', 'hell']","(16,[1,8,9,12,13,14],[4.0,1.0,2.0,2.0,2.0,2.0])"
8,0020fd96ed3b8c8b,shit bitch come fuck fuck sht,1,"['shit', 'bitch', 'come', 'fuck', 'fuck', 'sht']","['shit', 'bitch', 'come', 'fuck', 'fuck', 'sht']","(16,[5,7,12,13],[1.0,2.0,2.0,1.0])"
9,0021fe88bc4da3e6,friends happy nublet,0,"['friends', 'happy', 'nublet']","['friends', 'happy', 'nublet']","(16,[5,10],[2.0,1.0])"
10,002264ea4d5f2887,you are nice,0,"['you', 'are', 'nice']",['nice'],"(16,[10],[1.0])"
11,0028d62e8a5629aa,something about cunts,1,"['something', 'about', 'cunts']","['something', 'cunts']","(16,[0,1],[1.0,1.0])"
12,003217c3eb469ba9,die and come back and then die,1,"['die', 'and', 'come', 'back', 'and', 'then', 'die']","['die', 'come', 'back', 'die']","(16,[1,12,14],[2.0,1.0,1.0])"
13,0036621e4c7e10b5,shut up,1,"['shut', 'up']",['shut'],"(16,[3],[1.0])"
14,00472b8e2d38d1ea,love people,0,"['love', 'people']","['love', 'people']","(16,[0,14],[1.0,1.0])"
15,005f59485fcddeb0,you are doing great,0,"['you', 'are', 'doing', 'great']",['great'],"(16,[4],[1.0])"
16,00637960a7ec3436,good stuff,0,"['good', 'stuff']","['good', 'stuff']","(16,[8,9],[1.0,1.0])"
17,00686325bcc16080,nice guy happy things positive,0,"['nice', 'guy', 'happy', 'things', 'positive']","['nice', 'guy', 'happy', 'things', 'positive']","(16,[1,3,5,8,10],[1.0,1.0,1.0,1.0,1.0])"
18,006b94add72ed61c,faggot burn in hell,0,"['faggot', 'burn', 'in', 'hell']","['faggot', 'burn', 'hell']","(16,[1,2,4],[1.0,1.0,1.0])"
